ROWID,UNITID,OPEID,opeid6,INSTNM,CITY,STABBR,INSTURL
157,102368,104700,1047,Troy University,Troy,AL,http://www.brandsoftheworld.com/sites/default/files/styles/logo-thumbnail/public/0013/2470/brand.gif?itok=fJUCDuj11
158,10236801,104703,1047,Troy University-Phenix City Campus,Phenix City,AL,http://www.weisradio.com/wp-content/uploads/2013/05/GSCC-Logo.jpg
159,10236802,104755,1047,Troy University-Montgomery Campus,Montgomery,AL,https://s2.graphiq.com/sites/default/files/10/media/images/t2/New_Beginning_College_of_Cosmetology_1384436.png
160,10236803,104754,1047,Troy University-Dothan Campus,Dothan,AL,http://www.troy.edu/locations/dothan-campus.html
161,10236808,104700,1047,Troy University-eTROY,Troy,AL,http://www.troy.edu/etroy/online-learning.html
162,10236809,104700,1047,Troy University-Global Campus,Troy,AL,https://s2.graphiq.com/sites/default/files/10/media/images/t2/New_Beginning_College_of_Cosmetology_1384436.png
163,102377,105000,1050,Tuskegee University,Tuskegee,AL,http://www.wallace.edu/images/ftr_logo.jpg
164,102395,2170600,21706,United States Sports Academy,Daphne,AL,http://www.sports-logos-screensavers.com/user/Alabama_AM_Bulldogs01.jpg
165,102429,573300,5733,Bevill State Community College,Jasper,AL,http://www.recruit757.com/wp-content/uploads/2014/12/UAB-Logo.gif
166,102553,1146200,11462,University of Alaska Anchorage,Anchorage,AK,https://upload.wikimedia.org/wikipedia/en/1/11/Amridge_University_seal.png
167,102580,884300,8843,Alaska Bible College,Palmer,AK,https://upload.wikimedia.org/wikipedia/commons/5/59/UAHuntsville_logo.png
168,102614,106300,1063,University of Alaska Fairbanks,Fairbanks,AK,http://1.bp.blogspot.com/_aXwvjOCyM24/Sb2PMargUlI/AAAAAAAAMBw/IqGUk1ShXgs/s320/asu-logo.gif
169,102632,106500,1065,University of Alaska Southeast,Juneau,AK,http://visualid.ua.edu/download/A_Square_Logo_4c.jpg
170,102669,106100,1061,Alaska Pacific University,Anchorage,AK,http://static.wixstatic.com/media/004d1d_c8bfe327cbd84b758ff78d8dc6c24573.gif
171,102711,3160300,31603,AVTEC-Alaska s Institute of Technology,Seward,AK,http://www.athens.edu/wp-content/uploads/2015/03/ASU_MASTERLOGO_BLU_V_3.png
172,102845,2576900,25769,Charter College-Anchorage,Anchorage,AK,http://cdn-payscale.com/content/school_logos/Auburn%20University%20-%20Montgomery_200px.jpg
173,103361,1146205,11462,Prince William Sound Community College,Valdez,AK,http://cdn-payscale.com/content/school_logos/Auburn%20University%20-%20Montgomery_200px.jpg
174,103501,2541000,25410,Alaska Career College,Anchorage,AK,http://bookstore.bsc.edu/outerweb/product_images/10178645l.jpg
175,103644,2295000,22950,Everest College-Phoenix,Phoenix,AZ,http://www.meridys.com/images/stories/logos/cvcclogo.png
176,103723,2160305,21603,Collins College,Phoenix,AZ,http://www.collegeatlas.org/wp-content/uploads/2014/04/concordia-college-selma.jpg
177,103732,2173204,21732,Empire Beauty School-Paradise Valley,Phoenix,AZ,http://open-site.org/img/logos/101116.jpg
178,103741,966403,9664,Empire Beauty School-Tucson,Tucson,AZ,http://www.brandsoftheworld.com/sites/default/files/styles/logo-thumbnail/public/082014/enterprise_state_community_college.jpg?itok=QxPCPadw
179,103778,107000,1070,Thunderbird School of Global Management,Glendale,AZ,https://media.licdn.com/mpr/mpr/shrink_200_200/p/4/005/09c/0e9/0dec2e2.png
180,10377801,107002,1070,Global MBA Latin American Managers Program Satellite Campus,Doral,FL,https://s2.graphiq.com/sites/default/files/10/media/images/t2/New_Beginning_College_of_Cosmetology_1384436.png
181,103787,2199900,21999,American Indian College of the Assemblies of God Inc,Phoenix,AZ,http://www.troy.edu/locations/dothan-campus.html
182,103811,2317800,23178,American Institute of Technology,Phoenix,AZ,http://www.troy.edu/etroy/online-learning.html
183,103893,2100600,21006,Carrington College-Phoenix,Phoenix,AZ,https://s2.graphiq.com/sites/default/files/10/media/images/t2/New_Beginning_College_of_Cosmetology_1384436.png
184,103909,2100611,21006,Carrington College-Mesa,Mesa,AZ,http://www.wallace.edu/images/ftr_logo.jpg
185,103927,2100607,21006,Carrington College-Tucson,Tucson,AZ,http://www.sports-logos-screensavers.com/user/Alabama_AM_Bulldogs01.jpg
186,103945,3120300,31203,College America-Flagstaff,Flagstaff,AZ,http://www.recruit757.com/wp-content/uploads/2014/12/UAB-Logo.gif
187,103954,886400,8864,Arizona Academy of Beauty-East,Tucson,AZ,https://upload.wikimedia.org/wikipedia/en/1/11/Amridge_University_seal.png
